concentration,Hb SET1,Hb SET2,Hb SET3
0.047619047619047616,46871.09523809524,46929.857142857145,46995.04761904762
0.09523809523809523,46688.19047619047,46745.71428571428,46798.09523809524
0.14285714285714285,46505.28571428572,46561.57142857143,46601.142857142855
0.19047619047619047,46322.380952380954,46377.42857142857,46404.19047619047
0.23809523809523808,46139.47619047619,46193.28571428572,46207.23809523809
0.2857142857142857,45956.57142857143,46009.142857142855,46010.28571428572
0.3333333333333333,45773.666666666664,45825.0,45813.333333333336
0.38095238095238093,45590.76190476191,45640.857142857145,45616.380952380954
0.42857142857142855,45407.857142857145,45456.71428571428,45419.42857142857
0.47619047619047616,45224.95238095238,45272.57142857143,45222.47619047619
0.5238095238095237,45042.04761904762,45088.42857142857,45025.52380952381
0.5714285714285714,44859.142857142855,44904.28571428572,44828.57142857143
0.6190476190476191,44676.23809523809,44720.142857142855,44631.619047619046
0.6666666666666666,44493.333333333336,44536.0,44434.666666666664
0.7142857142857142,44310.42857142857,44351.857142857145,44237.71428571428
0.7619047619047619,44127.52380952381,44167.71428571428,44040.76190476191
0.8095238095238095,43944.619047619046,43983.57142857143,43843.80952380953
0.8571428571428571,43761.71428571428,43799.42857142857,43646.857142857145
0.9047619047619047,43578.80952380953,43615.28571428572,43449.90476190476
0.9523809523809523,43395.90476190476,43431.142857142855,43252.95238095238
1.0476190476190477,43045.47619047619,43074.42857142857,42890.76190476191
1.0952380952380953,42877.95238095238,42901.857142857145,42725.52380952381
1.1428571428571428,42710.42857142857,42729.28571428572,42560.28571428572
1.1904761904761905,42542.90476190476,42556.71428571428,42395.04761904762
1.2380952380952381,42375.380952380954,42384.142857142855,42229.80952380953
1.2857142857142856,42207.857142857145,42211.57142857143,42064.57142857143
1.3333333333333333,42040.333333333336,42039.0,41899.333333333336
1.380952380952381,41872.80952380953,41866.42857142857,41734.09523809524
1.4285714285714286,41705.28571428572,41693.857142857145,41568.857142857145
1.4761904761904763,41537.76190476191,41521.28571428572,41403.619047619046
1.5238095238095237,41370.23809523809,41348.71428571428,41238.380952380954
1.5714285714285714,41202.71428571428,41176.142857142855,41073.142857142855
1.619047619047619,41035.19047619047,41003.57142857143,40907.90476190476
1.6666666666666665,40867.666666666664,40831.0,40742.666666666664
1.7142857142857142,40700.142857142855,40658.42857142857,40577.42857142857
1.7619047619047619,40532.619047619046,40485.857142857145,40412.19047619047
1.8095238095238095,40365.09523809524,40313.28571428572,40246.95238095238
1.8571428571428572,40197.57142857143,40140.71428571428,40081.71428571428
1.9047619047619047,40030.04761904762,39968.142857142855,39916.47619047619
1.9523809523809523,39862.52380952381,39795.57142857143,39751.23809523809
2.0476190476190474,39554.76190476191,39481.76190476191,39444.09523809524
2.0952380952380953,39414.52380952381,39340.52380952381,39302.19047619047
2.142857142857143,39274.28571428572,39199.28571428572,39160.28571428572
2.1904761904761907,39134.04761904762,39058.04761904762,39018.380952380954
2.238095238095238,38993.80952380953,38916.80952380953,38876.47619047619
2.2857142857142856,38853.57142857143,38775.57142857143,38734.57142857143
2.3333333333333335,38713.333333333336,38634.333333333336,38592.666666666664
2.380952380952381,38573.09523809524,38493.09523809524,38450.76190476191
2.4285714285714284,38432.857142857145,38351.857142857145,38308.857142857145
2.4761904761904763,38292.619047619046,38210.619047619046,38166.95238095238
2.5238095238095237,38152.380952380954,38069.380952380954,38025.04761904762
2.571428571428571,38012.142857142855,37928.142857142855,37883.142857142855
2.619047619047619,37871.90476190476,37786.90476190476,37741.23809523809
2.6666666666666665,37731.666666666664,37645.666666666664,37599.333333333336
2.7142857142857144,37591.42857142857,37504.42857142857,37457.42857142857
2.761904761904762,37451.19047619047,37363.19047619047,37315.52380952381
2.8095238095238093,37310.95238095238,37221.95238095238,37173.619047619046
2.857142857142857,37170.71428571428,37080.71428571428,37031.71428571428
2.9047619047619047,37030.47619047619,36939.47619047619,36889.80952380953
2.9523809523809526,36890.23809523809,36798.23809523809,36747.90476190476
3.0476190476190474,36614.80952380953,36512.76190476191,36474.52380952381
3.0952380952380953,36479.619047619046,36368.52380952381,36343.04761904762
3.142857142857143,36344.42857142857,36224.28571428572,36211.57142857143
3.1904761904761907,36209.23809523809,36080.04761904762,36080.09523809524
3.238095238095238,36074.04761904762,35935.80952380953,35948.619047619046
3.2857142857142856,35938.857142857145,35791.57142857143,35817.142857142855
3.3333333333333335,35803.666666666664,35647.333333333336,35685.666666666664
3.380952380952381,35668.47619047619,35503.09523809524,35554.19047619047
3.4285714285714284,35533.28571428572,35358.857142857145,35422.71428571428
3.4761904761904763,35398.09523809524,35214.619047619046,35291.23809523809
3.5238095238095237,35262.90476190476,35070.380952380954,35159.76190476191
3.571428571428571,35127.71428571428,34926.142857142855,35028.28571428572
3.619047619047619,34992.52380952381,34781.90476190476,34896.80952380953
3.6666666666666665,34857.333333333336,34637.666666666664,34765.333333333336
3.7142857142857144,34722.142857142855,34493.42857142857,34633.857142857145
3.761904761904762,34586.95238095238,34349.19047619047,34502.380952380954
3.8095238095238093,34451.76190476191,34204.95238095238,34370.90476190476
3.857142857142857,34316.57142857143,34060.71428571428,34239.42857142857
3.9047619047619047,34181.380952380954,33916.47619047619,34107.95238095238
3.9523809523809526,34046.19047619047,33772.23809523809,33976.47619047619
4.0476190476190474,33786.76190476191,33503.666666666664,33708.90476190476
4.095238095238095,33662.52380952381,33379.333333333336,33572.80952380953
4.142857142857143,33538.28571428572,33255.0,33436.71428571428
4.190476190476191,33414.04761904762,33130.666666666664,33300.619047619046
4.238095238095238,33289.80952380953,33006.333333333336,33164.52380952381
4.285714285714286,33165.57142857143,32882.0,33028.42857142857
4.333333333333333,33041.333333333336,32757.666666666668,32892.333333333336
4.380952380952381,32917.09523809524,32633.333333333332,32756.238095238095
4.428571428571429,32792.857142857145,32509.0,32620.14285714286
4.476190476190476,32668.619047619046,32384.666666666668,32484.04761904762
4.523809523809524,32544.380952380954,32260.333333333332,32347.95238095238
4.571428571428571,32420.14285714286,32136.0,32211.85714285714
4.619047619047619,32295.904761904763,32011.666666666668,32075.761904761905
4.666666666666667,32171.666666666668,31887.333333333332,31939.666666666668
4.714285714285714,32047.428571428572,31763.0,31803.571428571428
4.761904761904762,31923.190476190477,31638.666666666668,31667.47619047619
4.809523809523809,31798.95238095238,31514.333333333332,31531.380952380954
4.857142857142857,31674.714285714286,31390.0,31395.285714285714
4.904761904761905,31550.47619047619,31265.666666666668,31259.190476190477
4.9523809523809526,31426.238095238095,31141.333333333332,31123.095238095237
5.0476190476190474,31189.095238095237,30920.285714285714,30884.47619047619
5.095238095238095,31076.190476190477,30823.571428571428,30781.95238095238
5.142857142857143,30963.285714285714,30726.85714285714,30679.428571428572
5.190476190476191,30850.380952380954,30630.14285714286,30576.904761904763
5.238095238095238,30737.47619047619,30533.428571428572,30474.380952380954
5.285714285714286,30624.571428571428,30436.714285714286,30371.85714285714
5.333333333333333,30511.666666666668,30340.0,30269.333333333332
5.380952380952381,30398.761904761905,30243.285714285714,30166.809523809523
5.428571428571429,30285.85714285714,30146.571428571428,30064.285714285714
5.476190476190476,30172.95238095238,30049.85714285714,29961.761904761905
5.523809523809524,30060.04761904762,29953.14285714286,29859.238095238095
5.571428571428571,29947.14285714286,29856.428571428572,29756.714285714286
5.619047619047619,29834.238095238095,29759.714285714286,29654.190476190477
5.666666666666667,29721.333333333332,29663.0,29551.666666666668
5.714285714285714,29608.428571428572,29566.285714285714,29449.14285714286
5.761904761904762,29495.52380952381,29469.571428571428,29346.619047619046
5.809523809523809,29382.619047619046,29372.85714285714,29244.095238095237
5.857142857142857,29269.714285714286,29276.14285714286,29141.571428571428
5.904761904761905,29156.809523809523,29179.428571428572,29039.04761904762
5.9523809523809526,29043.904761904763,29082.714285714286,28936.52380952381
6.0476190476190474,28851.571428571428,28901.761904761905,28738.666666666668
6.095238095238095,28772.14285714286,28817.52380952381,28643.333333333332
6.142857142857143,28692.714285714286,28733.285714285714,28548.0
6.190476190476191,28613.285714285714,28649.04761904762,28452.666666666668
6.238095238095238,28533.85714285714,28564.809523809523,28357.333333333332
6.285714285714286,28454.428571428572,28480.571428571428,28262.0
6.333333333333333,28375.0,28396.333333333332,28166.666666666668
6.380952380952381,28295.571428571428,28312.095238095237,28071.333333333332
6.428571428571429,28216.14285714286,28227.85714285714,27976.0
6.476190476190476,28136.714285714286,28143.619047619046,27880.666666666668
6.523809523809524,28057.285714285714,28059.380952380954,27785.333333333332
6.571428571428571,27977.85714285714,27975.14285714286,27690.0
6.619047619047619,27898.428571428572,27890.904761904763,27594.666666666668
6.666666666666667,27819.0,27806.666666666668,27499.333333333332
6.714285714285714,27739.571428571428,27722.428571428572,27404.0
6.761904761904762,27660.14285714286,27638.190476190477,27308.666666666668
6.809523809523809,27580.714285714286,27553.95238095238,27213.333333333332
6.857142857142857,27501.285714285714,27469.714285714286,27118.0
6.904761904761905,27421.85714285714,27385.47619047619,27022.666666666668
6.9523809523809526,27342.428571428572,27301.238095238095,26927.333333333332
7.0476190476190474,27163.285714285714,27136.52380952381,26738.571428571428
7.095238095238095,27063.571428571428,27056.04761904762,26645.14285714286
7.142857142857143,26963.85714285714,26975.571428571428,26551.714285714286
7.190476190476191,26864.14285714286,26895.095238095237,26458.285714285714
7.238095238095238,26764.428571428572,26814.619047619046,26364.85714285714
7.285714285714286,26664.714285714286,26734.14285714286,26271.428571428572
7.333333333333333,26565.0,26653.666666666668,26178.0
7.380952380952381,26465.285714285714,26573.190476190477,26084.571428571428
7.428571428571429,26365.571428571428,26492.714285714286,25991.14285714286
7.476190476190476,26265.85714285714,26412.238095238095,25897.714285714286
7.523809523809524,26166.14285714286,26331.761904761905,25804.285714285714
7.571428571428571,26066.428571428572,26251.285714285714,25710.85714285714
7.619047619047619,25966.714285714286,26170.809523809523,25617.428571428572
7.666666666666667,25867.0,26090.333333333332,25524.0
7.714285714285714,25767.285714285714,26009.85714285714,25430.571428571428
7.761904761904762,25667.571428571428,25929.380952380954,25337.14285714286
7.809523809523809,25567.85714285714,25848.904761904763,25243.714285714286
7.857142857142857,25468.14285714286,25768.428571428572,25150.285714285714
7.904761904761905,25368.428571428572,25687.95238095238,25056.85714285714
7.9523809523809526,25268.714285714286,25607.47619047619,24963.428571428572
8.047619047619047,25088.47619047619,25416.809523809523,24787.809523809523
8.095238095238095,25007.95238095238,25306.619047619046,24705.619047619046
8.142857142857142,24927.428571428572,25196.428571428572,24623.428571428572
8.19047619047619,24846.904761904763,25086.238095238095,24541.238095238095
8.238095238095237,24766.380952380954,24976.04761904762,24459.04761904762
8.285714285714286,24685.85714285714,24865.85714285714,24376.85714285714
8.333333333333334,24605.333333333332,24755.666666666668,24294.666666666668
8.380952380952381,24524.809523809523,24645.47619047619,24212.47619047619
8.428571428571429,24444.285714285714,24535.285714285714,24130.285714285714
8.476190476190476,24363.761904761905,24425.095238095237,24048.095238095237
8.523809523809524,24283.238095238095,24314.904761904763,23965.904761904763
8.571428571428571,24202.714285714286,24204.714285714286,23883.714285714286
8.619047619047619,24122.190476190477,24094.52380952381,23801.52380952381
8.666666666666666,24041.666666666668,23984.333333333332,23719.333333333332
8.714285714285714,23961.14285714286,23874.14285714286,23637.14285714286
8.761904761904763,23880.619047619046,23763.95238095238,23554.95238095238
8.80952380952381,23800.095238095237,23653.761904761905,23472.761904761905
8.857142857142858,23719.571428571428,23543.571428571428,23390.571428571428
8.904761904761905,23639.04761904762,23433.380952380954,23308.380952380954
8.952380952380953,23558.52380952381,23323.190476190477,23226.190476190477
9.047619047619047,23405.85714285714,23150.04761904762,23084.904761904763
9.095238095238095,23333.714285714286,23087.095238095237,23025.809523809523
9.142857142857142,23261.571428571428,23024.14285714286,22966.714285714286
9.19047619047619,23189.428571428572,22961.190476190477,22907.619047619046
9.238095238095237,23117.285714285714,22898.238095238095,22848.52380952381
9.285714285714286,23045.14285714286,22835.285714285714,22789.428571428572
9.333333333333334,22973.0,22772.333333333332,22730.333333333332
9.380952380952381,22900.85714285714,22709.380952380954,22671.238095238095
9.428571428571429,22828.714285714286,22646.428571428572,22612.14285714286
9.476190476190476,22756.571428571428,22583.47619047619,22553.04761904762
9.523809523809524,22684.428571428572,22520.52380952381,22493.95238095238
9.571428571428571,22612.285714285714,22457.571428571428,22434.85714285714
9.619047619047619,22540.14285714286,22394.619047619046,22375.761904761905
9.666666666666666,22468.0,22331.666666666668,22316.666666666668
9.714285714285714,22395.85714285714,22268.714285714286,22257.571428571428
9.761904761904763,22323.714285714286,22205.761904761905,22198.47619047619
9.80952380952381,22251.571428571428,22142.809523809523,22139.380952380954
9.857142857142858,22179.428571428572,22079.85714285714,22080.285714285714
9.904761904761905,22107.285714285714,22016.904761904763,22021.190476190477
9.952380952380953,22035.14285714286,21953.95238095238,21962.095238095237
10.047619047619047,21887.904761904763,21834.47619047619,21849.285714285714
10.095238095238095,21812.809523809523,21777.95238095238,21795.571428571428
10.142857142857142,21737.714285714286,21721.428571428572,21741.85714285714
10.19047619047619,21662.619047619046,21664.904761904763,21688.14285714286
10.238095238095237,21587.52380952381,21608.380952380954,21634.428571428572
10.285714285714286,21512.428571428572,21551.85714285714,21580.714285714286
10.333333333333334,21437.333333333332,21495.333333333332,21527.0
10.380952380952381,21362.238095238095,21438.809523809523,21473.285714285714
10.428571428571429,21287.14285714286,21382.285714285714,21419.571428571428
10.476190476190476,21212.04761904762,21325.761904761905,21365.85714285714
10.523809523809524,21136.95238095238,21269.238095238095,21312.14285714286
10.571428571428571,21061.85714285714,21212.714285714286,21258.428571428572
10.619047619047619,20986.761904761905,21156.190476190477,21204.714285714286
10.666666666666666,20911.666666666668,21099.666666666668,21151.0
10.714285714285714,20836.571428571428,21043.14285714286,21097.285714285714
10.761904761904763,20761.47619047619,20986.619047619046,21043.571428571428
10.80952380952381,20686.380952380954,20930.095238095237,20989.85714285714
10.857142857142858,20611.285714285714,20873.571428571428,20936.14285714286
10.904761904761905,20536.190476190477,20817.04761904762,20882.428571428572
10.952380952380953,20461.095238095237,20760.52380952381,20828.714285714286
11.047619047619047,20346.095238095237,20631.52380952381,20733.333333333332
11.095238095238095,20306.190476190477,20559.04761904762,20691.666666666668
11.142857142857142,20266.285714285714,20486.571428571428,20650.0
11.19047619047619,20226.380952380954,20414.095238095237,20608.333333333332
11.238095238095237,20186.47619047619,20341.619047619046,20566.666666666668
11.285714285714286,20146.571428571428,20269.14285714286,20525.0
11.333333333333334,20106.666666666668,20196.666666666668,20483.333333333332
11.380952380952381,20066.761904761905,20124.190476190477,20441.666666666668
11.428571428571429,20026.85714285714,20051.714285714286,20400.0
11.476190476190476,19986.95238095238,19979.238095238095,20358.333333333332
11.523809523809524,19947.04761904762,19906.761904761905,20316.666666666668
11.571428571428571,19907.14285714286,19834.285714285714,20275.0
11.619047619047619,19867.238095238095,19761.809523809523,20233.333333333332
11.666666666666666,19827.333333333332,19689.333333333332,20191.666666666668
11.714285714285714,19787.428571428572,19616.85714285714,20150.0
11.761904761904763,19747.52380952381,19544.380952380954,20108.333333333332
11.80952380952381,19707.619047619046,19471.904761904763,20066.666666666668
11.857142857142858,19667.714285714286,19399.428571428572,20025.0
11.904761904761905,19627.809523809523,19326.95238095238,19983.333333333332
11.952380952380953,19587.904761904763,19254.47619047619,19941.666666666668
12.047619047619047,19497.285714285714,19143.333333333332,19828.809523809523
12.095238095238095,19446.571428571428,19104.666666666668,19757.619047619046
12.142857142857142,19395.85714285714,19066.0,19686.428571428572
12.19047619047619,19345.14285714286,19027.333333333332,19615.238095238095
12.238095238095237,19294.428571428572,18988.666666666668,19544.04761904762
12.285714285714286,19243.714285714286,18950.0,19472.85714285714
12.333333333333334,19193.0,18911.333333333332,19401.666666666668
12.380952380952381,19142.285714285714,18872.666666666668,19330.47619047619
12.428571428571429,19091.571428571428,18834.0,19259.285714285714
12.476190476190476,19040.85714285714,18795.333333333332,19188.095238095237
12.523809523809524,18990.14285714286,18756.666666666668,19116.904761904763
12.571428571428571,18939.428571428572,18718.0,19045.714285714286
12.619047619047619,18888.714285714286,18679.333333333332,18974.52380952381
12.666666666666666,18838.0,18640.666666666668,18903.333333333332
12.714285714285714,18787.285714285714,18602.0,18832.14285714286
12.761904761904763,18736.571428571428,18563.333333333332,18760.95238095238
12.80952380952381,18685.85714285714,18524.666666666668,18689.761904761905
12.857142857142858,18635.14285714286,18486.0,18618.571428571428
12.904761904761905,18584.428571428572,18447.333333333332,18547.380952380954
12.952380952380953,18533.714285714286,18408.666666666668,18476.190476190477
13.047619047619047,18427.761904761905,18330.285714285714,18346.285714285714
13.095238095238095,18372.52380952381,18290.571428571428,18287.571428571428
13.142857142857142,18317.285714285714,18250.85714285714,18228.85714285714
13.19047619047619,18262.04761904762,18211.14285714286,18170.14285714286
13.238095238095237,18206.809523809523,18171.428571428572,18111.428571428572
13.285714285714286,18151.571428571428,18131.714285714286,18052.714285714286
13.333333333333334,18096.333333333332,18092.0,17994.0
13.380952380952381,18041.095238095237,18052.285714285714,17935.285714285714
13.428571428571429,17985.85714285714,18012.571428571428,17876.571428571428
13.476190476190476,17930.619047619046,17972.85714285714,17817.85714285714
13.523809523809524,17875.380952380954,17933.14285714286,17759.14285714286
13.571428571428571,17820.14285714286,17893.428571428572,17700.428571428572
13.619047619047619,17764.904761904763,17853.714285714286,17641.714285714286
13.666666666666666,17709.666666666668,17814.0,17583.0
13.714285714285714,17654.428571428572,17774.285714285714,17524.285714285714
13.761904761904763,17599.190476190477,17734.571428571428,17465.571428571428
13.80952380952381,17543.95238095238,17694.85714285714,17406.85714285714
13.857142857142858,17488.714285714286,17655.14285714286,17348.14285714286
13.904761904761905,17433.47619047619,17615.428571428572,17289.428571428572
13.952380952380953,17378.238095238095,17575.714285714286,17230.714285714286
14.047619047619047,17289.52380952381,17493.238095238095,17140.0
14.095238095238095,17256.04761904762,17450.47619047619,17108.0
14.142857142857142,17222.571428571428,17407.714285714286,17076.0
14.19047619047619,17189.095238095237,17364.95238095238,17044.0
14.238095238095237,17155.619047619046,17322.190476190477,17012.0
14.285714285714286,17122.14285714286,17279.428571428572,16980.0
14.333333333333334,17088.666666666668,17236.666666666668,16948.0
14.380952380952381,17055.190476190477,17193.904761904763,16916.0
14.428571428571429,17021.714285714286,17151.14285714286,16884.0
14.476190476190476,16988.238095238095,17108.380952380954,16852.0
14.523809523809524,16954.761904761905,17065.619047619046,16820.0
14.571428571428571,16921.285714285714,17022.85714285714,16788.0
14.619047619047619,16887.809523809523,16980.095238095237,16756.0
14.666666666666666,16854.333333333332,16937.333333333332,16724.0
14.714285714285714,16820.85714285714,16894.571428571428,16692.0
14.761904761904763,16787.380952380954,16851.809523809523,16660.0
14.80952380952381,16753.904761904763,16809.04761904762,16628.0
14.857142857142858,16720.428571428572,16766.285714285714,16596.0
14.904761904761905,16686.95238095238,16723.52380952381,16564.0
14.952380952380953,16653.47619047619,16680.761904761905,16532.0
15.047619047619047,16589.095238095237,16594.714285714286,16457.238095238095
15.095238095238095,16558.190476190477,16551.428571428572,16414.47619047619
15.142857142857142,16527.285714285714,16508.14285714286,16371.714285714286
15.19047619047619,16496.380952380954,16464.85714285714,16328.952380952382
15.238095238095237,16465.47619047619,16421.571428571428,16286.190476190477
15.285714285714286,16434.571428571428,16378.285714285714,16243.42857142857
15.333333333333334,16403.666666666668,16335.0,16200.666666666666
15.380952380952381,16372.761904761905,16291.714285714286,16157.904761904761
15.428571428571429,16341.857142857143,16248.42857142857,16115.142857142857
15.476190476190476,16310.952380952382,16205.142857142857,16072.380952380952
15.523809523809524,16280.047619047618,16161.857142857143,16029.619047619048
15.571428571428571,16249.142857142857,16118.57142857143,15986.857142857143
15.619047619047619,16218.238095238095,16075.285714285714,15944.095238095239
15.666666666666666,16187.333333333334,16032.0,15901.333333333334
15.714285714285714,16156.42857142857,15988.714285714286,15858.57142857143
15.761904761904763,16125.52380952381,15945.42857142857,15815.809523809523
15.80952380952381,16094.619047619048,15902.142857142857,15773.047619047618
15.857142857142858,16063.714285714286,15858.857142857143,15730.285714285714
15.904761904761905,16032.809523809523,15815.57142857143,15687.52380952381
15.952380952380953,16001.904761904761,15772.285714285714,15644.761904761905
16.047619047619047,15934.380952380952,15698.857142857143,15576.952380952382
16.095238095238095,15897.761904761905,15668.714285714286,15551.904761904761
16.142857142857142,15861.142857142857,15638.57142857143,15526.857142857143
16.19047619047619,15824.52380952381,15608.42857142857,15501.809523809523
16.238095238095237,15787.904761904761,15578.285714285714,15476.761904761905
16.285714285714285,15751.285714285714,15548.142857142857,15451.714285714286
16.333333333333332,15714.666666666666,15518.0,15426.666666666666
16.38095238095238,15678.047619047618,15487.857142857143,15401.619047619048
16.428571428571427,15641.42857142857,15457.714285714286,15376.57142857143
16.476190476190474,15604.809523809523,15427.57142857143,15351.52380952381
16.523809523809526,15568.190476190477,15397.42857142857,15326.47619047619
16.571428571428573,15531.57142857143,15367.285714285714,15301.42857142857
16.61904761904762,15494.952380952382,15337.142857142857,15276.380952380952
16.666666666666668,15458.333333333334,15307.0,15251.333333333334
16.714285714285715,15421.714285714286,15276.857142857143,15226.285714285714
16.761904761904763,15385.095238095239,15246.714285714286,15201.238095238095
16.80952380952381,15348.47619047619,15216.57142857143,15176.190476190477
16.857142857142858,15311.857142857143,15186.42857142857,15151.142857142857
16.904761904761905,15275.238095238095,15156.285714285714,15126.095238095239
16.952380952380953,15238.619047619048,15126.142857142857,15101.047619047618
17.047619047619047,15141.333333333334,15049.142857142857,15036.190476190477
17.095238095238095,15080.666666666666,15002.285714285714,14996.380952380952
17.142857142857142,15020.0,14955.42857142857,14956.57142857143
17.19047619047619,14959.333333333334,14908.57142857143,14916.761904761905
17.238095238095237,14898.666666666666,14861.714285714286,14876.952380952382
17.285714285714285,14838.0,14814.857142857143,14837.142857142857
17.333333333333332,14777.333333333334,14768.0,14797.333333333334
17.38095238095238,14716.666666666666,14721.142857142857,14757.52380952381
17.428571428571427,14656.0,14674.285714285714,14717.714285714286
17.476190476190474,14595.333333333334,14627.42857142857,14677.904761904761
17.523809523809526,14534.666666666666,14580.57142857143,14638.095238095239
17.571428571428573,14474.0,14533.714285714286,14598.285714285714
17.61904761904762,14413.333333333334,14486.857142857143,14558.47619047619
17.666666666666668,14352.666666666666,14440.0,14518.666666666666
17.714285714285715,14292.0,14393.142857142857,14478.857142857143
17.761904761904763,14231.333333333334,14346.285714285714,14439.047619047618
17.80952380952381,14170.666666666666,14299.42857142857,14399.238095238095
17.857142857142858,14110.0,14252.57142857143,14359.42857142857
17.904761904761905,14049.333333333334,14205.714285714286,14319.619047619048
17.952380952380953,13988.666666666666,14158.857142857143,14279.809523809523
18.047619047619047,13919.47619047619,14077.142857142857,14219.714285714286
18.095238095238095,13910.952380952382,14042.285714285714,14199.42857142857
18.142857142857142,13902.42857142857,14007.42857142857,14179.142857142857
18.19047619047619,13893.904761904761,13972.57142857143,14158.857142857143
18.238095238095237,13885.380952380952,13937.714285714286,14138.57142857143
18.285714285714285,13876.857142857143,13902.857142857143,14118.285714285714
18.333333333333332,13868.333333333334,13868.0,14098.0
18.38095238095238,13859.809523809523,13833.142857142857,14077.714285714286
18.428571428571427,13851.285714285714,13798.285714285714,14057.42857142857
18.476190476190474,13842.761904761905,13763.42857142857,14037.142857142857
18.523809523809526,13834.238095238095,13728.57142857143,14016.857142857143
18.571428571428573,13825.714285714286,13693.714285714286,13996.57142857143
18.61904761904762,13817.190476190477,13658.857142857143,13976.285714285714
18.666666666666668,13808.666666666666,13624.0,13956.0
18.714285714285715,13800.142857142857,13589.142857142857,13935.714285714286
18.761904761904763,13791.619047619048,13554.285714285714,13915.42857142857
18.80952380952381,13783.095238095239,13519.42857142857,13895.142857142857
18.857142857142858,13774.57142857143,13484.57142857143,13874.857142857143
18.904761904761905,13766.047619047618,13449.714285714286,13854.57142857143
18.952380952380953,13757.52380952381,13414.857142857143,13834.285714285714
19.047619047619047,13705.857142857143,13358.714285714286,13779.47619047619
19.095238095238095,13662.714285714286,13337.42857142857,13744.952380952382
19.142857142857142,13619.57142857143,13316.142857142857,13710.42857142857
19.19047619047619,13576.42857142857,13294.857142857143,13675.904761904761
19.238095238095237,13533.285714285714,13273.57142857143,13641.380952380952
19.285714285714285,13490.142857142857,13252.285714285714,13606.857142857143
19.333333333333332,13447.0,13231.0,13572.333333333334
19.38095238095238,13403.857142857143,13209.714285714286,13537.809523809523
19.428571428571427,13360.714285714286,13188.42857142857,13503.285714285714
19.476190476190474,13317.57142857143,13167.142857142857,13468.761904761905
19.523809523809526,13274.42857142857,13145.857142857143,13434.238095238095
19.571428571428573,13231.285714285714,13124.57142857143,13399.714285714286
19.61904761904762,13188.142857142857,13103.285714285714,13365.190476190477
19.666666666666668,13145.0,13082.0,13330.666666666666
19.714285714285715,13101.857142857143,13060.714285714286,13296.142857142857
19.761904761904763,13058.714285714286,13039.42857142857,13261.619047619048
19.80952380952381,13015.57142857143,13018.142857142857,13227.095238095239
19.857142857142858,12972.42857142857,12996.857142857143,13192.57142857143
19.904761904761905,12929.285714285714,12975.57142857143,13158.047619047618
19.952380952380953,12886.142857142857,12954.285714285714,13123.52380952381
20.047619047619047,12833.333333333334,12912.857142857143,13078.190476190477
20.095238095238095,12823.666666666666,12892.714285714286,13067.380952380952
20.142857142857142,12814.0,12872.57142857143,13056.57142857143
20.19047619047619,12804.333333333334,12852.42857142857,13045.761904761905
20.238095238095237,12794.666666666666,12832.285714285714,13034.952380952382
20.285714285714285,12785.0,12812.142857142857,13024.142857142857
20.333333333333332,12775.333333333334,12792.0,13013.333333333334
20.38095238095238,12765.666666666666,12771.857142857143,13002.52380952381
20.428571428571427,12756.0,12751.714285714286,12991.714285714286
20.476190476190474,12746.333333333334,12731.57142857143,12980.904761904761
20.523809523809526,12736.666666666666,12711.42857142857,12970.095238095239
20.571428571428573,12727.0,12691.285714285714,12959.285714285714
20.61904761904762,12717.333333333334,12671.142857142857,12948.47619047619
20.666666666666668,12707.666666666666,12651.0,12937.666666666666
20.714285714285715,12698.0,12630.857142857143,12926.857142857143
20.761904761904763,12688.333333333334,12610.714285714286,12916.047619047618
20.80952380952381,12678.666666666666,12590.57142857143,12905.238095238095
20.857142857142858,12669.0,12570.42857142857,12894.42857142857
20.904761904761905,12659.333333333334,12550.285714285714,12883.619047619048
20.952380952380953,12649.666666666666,12530.142857142857,12872.809523809523
